seriesID,year,period,value
OEUS250000000000013108211,2023,A01,61320
OEUS250000000000013116111,2023,A01,47780
OEUS250000000000013201111,2023,A01,62480
OEUS250000000000013205111,2023,A01,66270
OEUS250000000000015122111,2023,A01,132430
OEUS250000000000015209911,2023,A01,37900
OEUS250000000000017207111,2023,A01,77930
OEUS250000000000019102911,2023,A01,64120
OEUS250000000000019201211,2023,A01,98280
OEUS250000000000019301111,2023,A01,77180
OEUS250000000000019303911,2023,A01,51580
OEUS250000000000019309411,2023,A01,65850
OEUS250000000000025112311,2023,A01,59840
OEUS250000000000025112611,2023,A01,61700
